TIME,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belgium,13909,14784,15343,15958,16787,17647,18156,19651,20453
Bulgaria,12851,13969,15719,16566,17760,18778,17499,18400,20699
Czechia,12955,13799,14640,15343,16010,16825,17770,19303,20998
Denmark,8481,9118,9164,9564,9989,10320,10993,11538,11810
Germany,102048,107637,110562,113749,117534,122615,127349,136222,142932
Estonia,2511,2827,3023,3096,3151,3230,3242,3533,3791
Ireland,11649,12027,12403,12675,13020,13512,13863,14337,14921
Greece,23651,22875,23406,23366,25152,26556,24965,27661,31317
Spain,75105,80754,78198,77890,81653,85945,94782,103210,107365
France,136505,145770,148961,154011,160296,166388,176886,189534,196077
Croatia,12242,12636,12916,13338,14051,14835,14608,16181,17899
Italy,52914,55854,56460,56450,58456,60815,62450,67142,72440
Cyprus,1235,1271,1562,1646,1769,1895,2048,2336,2497
Latvia,3195,3513,3510,3610,3809,3888,4012,4388,4756
Lithuania,2717,3122,3341,3555,3528,3496,3512,3861,4257
Luxembourg,806,865,900,946,1008,1038,1068,1139,1197
Hungary,13506,14497,15666,16431,17295,18401,18702,20274,22088
Malta,202,212,216,227,240,234,242,283,321
Netherlands,13934,14736,15180,15921,16517,17252,18352,19549,20235
Austria,20162,21529,22441,23214,24228,25351,25419,27547,30101
Poland,25353,27842,30069,31635,31866,32890,34027,36909,39546
Portugal,11237,12339,12464,13038,13946,14620,16060,17741,18247
Romania,20350,22011,24218,25670,26791,28099,28614,30850,33121
Slovenia,3856,4019,4123,4174,4421,4619,4487,5053,5618
Slovakia,4762,5137,5522,5871,6105,6320,6618,7279,8121
Finland,5221,5728,6054,6102,6332,6379,6419,6953,7521
Sweden,17539,19146,20161,20886,21753,22296,23166,24564,25375
United Kingdom,61581,64338,65429,67858,70306,73905,78352,82889,85259